stationID,latitude,longitude,facilityCarWashing,facilityRepair,facilityStore,facilityToilet,hasPremium,categoryStation,categoryRoad,roadToNorth,seqStation,typeOilSupply,noOiler,timeOpening,timeClosing,name,description,tel,fax,address,serviceAdded,poll,gas,diesel,lpg,premium,datetime
24,1975322,1124816,0,0,0,0,0,0,0,0,0,1,0,360,1440,웅지에너지,영동고속도로에서시내진입송정방향남강초등학교500m지나일송주공아파트건너편에위치,033-652-9276,,강원도 강릉시 포남동 1282,,4,1334,1134,0,0,2020-07-07 00:00:00
27,1986439,1117362,0,0,1,0,0,2,107,1,125,0,0,360,1440,샘터,7번국도변 주문진에서 강릉가는방면 주문진농공단지 아래,033-661-8600,,강원도 강릉시 연곡면 방내리 187-18,net,1,1339,1159,0,0,2020-07-07 00:00:00
29,1983707,1106079,0,0,0,0,0,2,0,1,3,0,0,360,1320,소금강,6번국도연곡천에서진고개방향10분거리우측에위치,033-661-4229,,강원도 강릉시 연곡면 삼산리 501-2,,6,1420,1195,0,0,2020-07-06 00:00:00
34,1958579,1136520,0,0,0,0,0,2,107,1,170,0,0,360,1440,옥계그린,정동진과 망상 사이 한라시멘트 공장 앞에 위치,033-534-2335,,강원도 강릉시 옥계면 주수리 169-3,,3,1360,1150,0,0,2020-07-07 00:00:00
35,1958200,1135767,0,0,0,0,0,0,0,0,0,0,0,360,1440,옥계농협,옥계입구,033-534-0663,,강원도 강릉시 옥계면 현내리 321-3,,18,1335,1145,0,0,2020-07-07 00:00:00
36,1958729,1135513,0,0,0,0,0,0,0,1,4,0,0,360,1440,용강,동해 고속도로 옥계 톨게이트 지나서 1km 우측 7번국도상 위치,033-534-1311,,강원도 강릉시 옥계면 현내리 131-1,화물차우대주유소,4,-1,-1,-1,-1,0
40,1964421,1118040,0,0,0,0,0,2,135,1,390,0,0,360,1440,왕산,35번국도 강릉에서 태백방향 성산지나서 7분거리 좌측에 위치,033-647-8024,,강원도 강릉시 왕산면 도마리 347-1,,2,1340,1150,0,0,2020-07-06 00:00:00
44,1973758,1123021,0,0,1,0,0,2,135,1,10,0,0,360,1440,강릉,강릉시내신영극장맞은편에위치,033-641-2539,,강원도 강릉시 임당동 86-6,,1,1320,1120,0,0,2020-07-07 00:00:00
47,1973850,1123996,1,1,0,0,0,0,0,0,0,1,0,360,1440,강남,강릉농고에서 남대천교방향 400미터 지점에 위치,033-642-4477,,강원도 강릉시 입암동 638-8,,3,-1,-1,-1,-1,0
48,1987726,1116159,1,0,1,0,0,2,0,1,14,0,6,360,1440,주문진,강릉에서 속초방향 주문진 들어오는 입구 우측,033-662-3082,,강원도 강릉시 주문진읍 교항리 368-8,,1,1374,1174,0,0,2020-07-06 00:00:00
49,1988461,1116036,0,0,0,0,0,2,107,1,120,0,0,360,1440,주문진동해,속초우회도로 극동아파트 맞은편에 위치,033-661-5191,,강원도 강릉시 주문진읍 교항리 238-1,,1,1374,1174,0,0,2020-07-06 00:00:00
54,1989997,1116522,0,0,0,0,0,0,0,0,0,0,0,360,1440,해변,주문진읍 유원지에서 읍내방향 500m 좌측 임페리얼호텔맞은편에 위치,033-662-0029,,강원도 강릉시 주문진읍 주문리 695-1,,5,1319,1130,0,0,2020-07-07 00:00:00
55,1977551,1120427,0,0,0,0,0,2,107,1,155,0,0,360,1440,죽헌동,7번국도 강릉에서 주문진방향 3000미터 오죽헌못가서 우측에 위치,033-641-5146,,강원도 강릉시 죽헌동 347-3,,2,1378,1148,0,0,2020-07-07 00:00:00
56,1977043,1120878,0,0,0,0,0,2,107,1,160,0,0,360,1440,감자바우,,033-647-5252,,강원도 강릉시 죽헌동 321-2,,3,1348,1149,0,0,2020-07-07 00:00:00
58,1972678,1124574,0,0,0,0,0,0,0,0,0,0,0,360,1440,강릉현대,강릉시내에서 정동진방향으로 1km 지점 좌측에 위치,033-647-5152,,강원도 강릉시 청량동 561-1,,3,1359,1139,0,1849,2020-07-07 00:00:00
59,1975636,1124309,1,1,0,0,0,0,0,0,0,0,0,360,1440,SK강릉,포남동 한국통신과 삼성증권 사이에 위치,033-652-5155,,강원도 강릉시 포남동 1288,,1,1349,1154,0,0,2020-07-06 00:00:00
60,1974613,1123909,1,0,0,0,1,0,0,0,0,0,0,360,1440,SK월드컵,강릉시내올림피아호텔앞에위치엘지주유소옆,033-646-8645,,강원도 강릉시 포남동 1141-3,자동세차,1,1360,1159,0,0,2020-07-07 00:00:00
62,1976168,1124659,1,1,0,0,0,0,0,0,0,0,0,360,1440,포남,동명중학교입구에위치,033-651-0115,,강원도 강릉시 포남동 1231-7,,2,1395,1195,0,0,2020-07-07 00:00:00
64,1975505,1124127,0,0,0,0,0,0,0,0,0,0,5,360,1380,대영,목화예식장 맞은편에 위치,033-653-5133,,강원도 강릉시 포남동 1234-2,화물차우대주유소,4,1390,1190,0,0,2020-07-07 00:00:00
65,1974728,1123502,1,1,0,0,0,0,0,0,0,0,0,360,1380,월드컵,강릉역에서 강릉경찰서방향 50미터 우측에 위치,033-647-2580,,강원도 강릉시 포남동 856-1,자동세차,2,1395,1195,0,0,2020-07-07 00:00:00
66,2042521,1084849,0,0,0,0,0,0,0,1,2,0,0,360,1440,금강농협,간성터미널옆에위치,033-681-2356,,강원도 고성군 간성읍 신안리 253,,18,1400,1200,0,0,2020-07-07 00:00:00
70,2049569,1083215,1,0,0,0,0,0,0,0,0,1,0,360,1320,설악에너지주식회사,7번국도 속초에서 통일전망대쪽 거진읍 내에 위치,033-682-3070,,강원도 고성군 거진읍 거진리 339-7,자동세차,1,1389,1189,0,0,2020-07-07 00:00:00
71,2043488,1083731,0,0,0,0,0,2,146,1,20,0,0,360,1440,동해안,46번국도 대대리 검문소 삼거리에서 진부령방향 바로 우측에 위치,033-681-2649,,강원도 고성군 거진읍 대대리 304-50,,3,1420,1260,0,0,2020-07-07 00:00:00
77,2030677,1091735,0,0,0,0,1,2,107,1,998,0,0,360,1440,아야진동산,7번국도 속초에서 간성방향 청간정지나 1.5km 우측에 위치,033-635-2131,,강원도 고성군 토성면 아야진리 470-1,,2,1357,1168,0,1599,2020-07-07 00:00:00
78,2026155,1094527,1,1,0,0,0,0,0,1,8,0,0,360,1440,용촌,속초동명항 하일라비치콘도 앞에 위치,033-636-4500,,강원도 고성군 토성면 용촌리 67,자동세차,1,1349,1169,0,0,2020-07-07 00:00:00
81,2054103,1080892,0,0,0,0,0,2,107,1,5,0,0,360,1440,갑호,화진포해수욕장가기전 전방 200m지점,033-681-0125,,강원도 고성군 현내면 초도리 140-2,친절한서비스로모심,3,1420,1220,0,0,2020-07-07 00:00:00
83,1943176,1143255,0,0,0,0,0,2,138,1,10,0,0,390,1290,동해,단봉동 고개언덕 위,033-533-3115,,강원도 동해시 단봉동 453-2,,3,1340,1150,0,0,2020-07-06 00:00:00
84,1942292,1145328,0,0,0,0,0,2,107,1,971,0,0,360,1440,촛대바위,동해에서 삼척사이 추암해수욕장 입구에 위치,033-521-2900,,강원도 동해시 대구동 33-1,,1,-1,-1,-1,-1,0
85,1942887,1144058,0,0,1,0,0,2,107,1,205,0,0,360,1440,기업,자동차 매매단지 옆,033-522-0202,,강원도 동해시 대구동 351-4,,1,1350,1130,0,0,2020-07-06 00:00:00
87,1954936,1141303,0,0,0,0,0,2,107,1,977,0,0,360,1440,망상IC,망상역 직전 노봉삼거리 묵호방향에 위치,010-5410-3112,,강원도 동해시 망상동 54-1,,1,1325,1125,0,0,2020-07-01 00:00:00
88,1956881,1139000,0,0,0,0,0,1,13,1,20,0,0,0,1440,동해(삼척방향),망상 고속도로 휴게소,033-534-6648,,강원도 동해시 망상동 산3-1,,5,1298,1104,0,0,2020-07-07 00:00:00
89,1952609,1141471,0,0,0,0,0,0,0,1,6,0,0,360,1440,세경,동해고속도로에서 묵호항빠지는 길로 나오자마자 있는 Oil Bank,033-532-7117,,강원도 동해시 발한동 377-7,,3,1330,1125,0,0,2020-07-07 00:00:00
90,1951625,1141705,1,0,0,0,0,0,0,0,0,1,0,360,1440,묵호,동해프라자사거리에서 강릉방향 2분거리 좌측 삼성아파트 입구에 위치,033-531-7711,,강원도 동해시 발한동 332-3,화물차우대주유소/자동세차,4,1330,1130,0,0,2020-07-07 00:00:00
91,1941939,1142876,1,0,0,0,0,0,0,0,0,1,0,360,1440,관동,강릉에서 삼척방향 부곡동 한국통신 동부고속터미날 맞은편에 위치,033-533-2848,,강원도 동해시 단봉동 458-1,,4,1350,1130,0,0,2020-07-06 00:00:00
92,1944994,1143616,0,0,0,0,0,0,0,0,0,0,0,360,1440,동해항,동해항 맞은편,033-522-0044,,강원도 동해시 송정동 1050-1,,2,1319,1100,0,0,2020-07-07 00:00:00
93,1944981,1143360,1,1,0,0,0,0,0,0,0,0,0,360,1440,3항구,효과동으로 넘어가는 구도로,033-522-0012,,강원도 동해시 송정동 1084-1,블루큐무료세차서비스,3,1445,1225,0,0,2020-07-07 00:00:00
94,1943715,1139812,0,1,0,0,0,0,0,0,0,0,0,360,1440,쇄운,42번국도 동해 속가사거리에서 무릉계곡방면으로 5km 정도에 위치약 5분소요,033-534-8911,,강원도 동해시 쇄운동 668,,1,1450,1235,0,0,2020-07-07 00:00:00
95,1944465,1141332,0,1,0,0,0,0,0,0,0,0,0,360,1440,에덴,동해역에서 무릉계곡방향 효가사거리지나 1000m 좌측에 위치,033-521-2588,,강원도 동해시 쇄운동 173-4,,4,1330,1140,0,0,2020-07-07 00:00:00
96,1946795,1143640,1,0,0,0,0,0,0,0,0,1,0,360,1440,SK해안로,해안도로 가,033-532-7424,,강원도 동해시 용정동 256-2,자동세차,1,1330,1120,0,0,2020-07-07 00:00:00
97,1946113,1143704,0,0,0,0,0,0,0,0,0,0,0,330,1380,용정에너지,해군부대 앞,033-533-5451,,강원도 동해시 용정동 73-1,,4,1360,1175,0,0,2020-07-07 00:00:00
98,1944417,1138857,1,0,0,0,0,0,0,0,0,0,0,360,1440,해성,효가사거리무릉계곡쪽으로쌍용양해공업주식회사동해공장앞에위치,033-534-9966,,강원도 동해시 이로동 110-1,화물차우대주유소/자동세차,4,1340,1145,0,0,2020-07-07 00:00:00
99,1948083,1141571,0,0,0,0,0,2,107,1,185,0,0,360,1440,대흥,천곡동 주공4차아파트 옆 삼육중고등학교 앞에 위치,033-533-1694,,강원도 동해시 천곡동 569-2,,1,-1,-1,-1,-1,0
101,1948086,1143148,0,0,0,0,0,0,0,0,0,0,0,360,1440,천곡,동해시청로타리에서교육청 경찰서동방향 100미터우측 에이마트맞으편에위치,033-532-3389,,강원도 동해시 천곡동 950,,2,1380,1180,0,0,2020-07-06 00:00:00
102,1954219,1140928,0,0,0,0,0,2,107,1,175,1,0,360,1440,대영,7번국도 망상역에서 동해시내방향 3분거리 언덕전에 우측에 위치,033-534-1207,,강원도 동해시 초구동 70-1,,4,1315,1115,0,0,2020-07-07 00:00:00
104,1949222,1141808,0,0,0,0,0,2,107,1,976,0,0,360,1380,늘푸른초록봉,강릉에서 동해방향가는 고속도로 끝 해군사령부 건너편에 위치,033-532-3216,,강원도 동해시 평릉동 209-24,화물차우대주유소/자동세차,4,1340,1140,0,0,2020-07-07 00:00:00
105,1945383,1142397,1,0,0,0,0,2,107,1,974,0,0,360,1440,동북,동해시에서 삼척방향으로 15분정도 국도타고 효가동에 위치,033-521-3661,,강원도 동해시 효가동 282-2,화물차우대주유소/자동세차,4,1348,1148,0,0,2020-07-07 00:00:00
106,1944766,1142367,1,0,0,0,0,2,107,1,203,0,0,300,60,동해현대,효가사거리 북삼파출소 맞은편에 위치,033-522-2007,,강원도 동해시 효가동 85-3,블루큐무료세차서비스,3,1348,1150,0,0,2020-07-07 00:00:00
107,1946106,1142102,0,0,0,0,0,2,107,1,200,0,0,360,1440,시민,금강병원밑에,033-522-2595,,강원도 동해시 효가동 360-1,net,1,1419,1189,0,0,2020-05-30 00:00:00
112,1930185,1153283,1,0,0,0,0,0,0,0,0,0,0,360,1440,명성,7번국도삼척에서울진방향근덕면소재지지나1000미터우측에위치,033-573-8081,,강원도 삼척시 근덕면 광태리 192-3,,2,1400,1200,0,0,2020-07-07 00:00:00
113,1929844,1153548,0,0,0,0,0,0,0,0,0,0,0,360,1440,대성오일,삼척시내에서영주울산가는7번가는국도변10분정도한냉공장맞은편에위치,033-573-3267,,강원도 삼척시 근덕면 광태리 100-4,,4,1350,1150,0,0,2020-07-06 00:00:00
114,1931723,1152933,0,0,0,0,0,0,0,0,0,0,0,360,1440,교가,7번국도삼척에서울진방향으로근덕면사무소지나10여m에위치,033-572-7812,,강원도 삼척시 근덕면 교가리 251-1,자동세차,1,1380,1180,0,0,2020-07-07 00:00:00
116,1934288,1151967,0,0,0,0,0,0,0,0,0,0,0,360,1440,산림조합,7번국도삼척에서근덕면중간맹방해수욕장입구에위치,033-575-9070,,강원도 삼척시 근덕면 상맹방리 5-9,,1,1380,1180,0,0,2020-07-06 00:00:00
118,1922444,1160184,0,0,1,0,0,2,107,1,940,0,0,360,1440,장호,삼척에서울진방향근덕면사무소에서15km지점좌측장호용화관광랜드내에위치,033-573-0485,,강원도 삼척시 근덕면 장호리 325,,1,1420,1230,0,0,2020-07-07 00:00:00
121,1940040,1147454,0,0,0,0,1,0,0,0,0,0,0,360,1440,시청앞,삼척시청삼척초교앞에위치,033-573-5560,,강원도 삼척시 당저동 28-3,,2,1380,1180,0,1710,2020-07-07 00:00:00
123,1918193,1137875,1,0,0,0,1,2,138,1,460,1,0,360,1440,우창,38번국도도계공설운동장도계운전학원맞은편에위치,033-541-4433,,강원도 삼척시 도계읍 마교리 161,,1,1360,1165,0,0,2020-07-07 00:00:00
124,1914973,1136770,0,0,0,0,0,2,138,1,440,0,0,360,1440,중앙,38번국도도계읍내도계시외버스터미날옆에위치,033-541-9090,,강원도 삼척시 도계읍 전두리 140-2,,1,1360,1165,0,0,2020-07-07 00:00:00
125,1939477,1144347,1,1,0,0,0,0,0,0,0,1,0,360,1440,등봉,38번국도삼척에서태백방향골프연습장맞은편에위치,033-575-5151,,강원도 삼척시 등봉동 11-1,,1,1380,1180,0,0,2020-07-07 00:00:00
126,1941121,1146913,0,0,0,0,0,2,107,1,210,0,0,360,1440,SK삼척,삼척마달동KBS중계소맞은편에위치,033-574-6568,,강원도 삼척시 마달동 44-1,,1,1419,1219,0,0,2020-07-07 00:00:00
127,1936108,1142583,0,0,0,0,0,0,0,0,0,0,0,360,1440,대성,삼척에서태백방향미로역100m위에위치,033-573-8558,,강원도 삼척시 미로면 하거노리 255-1,,1,1360,1160,0,0,2020-07-06 00:00:00
128,1933702,1141806,0,0,0,0,0,0,0,0,0,0,0,360,1440,미로,미로면내하정리마을입구에위치,033-572-6767,,강원도 삼척시 미로면 하정리 125-7,,4,-1,-1,-1,-1,0
129,1925842,1139593,0,0,0,0,0,2,138,1,470,0,0,360,1440,삼척,38번국도도계읍에서신기면방향마차리역지나2분거리우측에위치,033-541-6913,,강원도 삼척시 신기면 마차리 154,,2,1360,1165,0,0,2020-07-06 00:00:00
130,1929385,1140422,0,0,0,0,0,2,138,1,480,0,0,360,1440,용천,한성굴가가기전에400m지점에있음,033-541-6400,,강원도 삼척시 신기면 신기리 394-1,,2,1380,1180,0,0,2020-07-07 00:00:00
132,1911660,1162469,0,0,0,0,0,0,0,0,0,0,0,0,1440,넘버원,7번국도 삼척에서 울진방향 임원항 에서 8km 지점 강원도와 경상도 경계에 위치,033-573-9757,,강원도 삼척시 원덕읍 옥원리 33-1,,3,1380,1180,0,0,2020-07-07 00:00:00
134,1938482,1148462,1,0,0,0,0,0,0,0,0,0,0,360,1440,공원,삼척시내삼척한전맞은편에위치,033-575-5101,,강원도 삼척시 정상동 243-2,자동세차,3,1360,1160,0,0,2020-07-07 00:00:00
135,1939818,1148504,0,0,0,0,0,2,107,1,950,0,0,360,1440,우성,7번국도동해서울진방향으로삼척공설운동장1km지나좌측에위치,033-574-7179,,강원도 삼척시 정상동 350-3,,1,1360,1160,0,0,2020-07-07 00:00:00
136,1939128,1148628,0,0,0,0,0,2,107,1,215,0,0,360,1440,삼척현대,7번국도삼척공설운동장에서삼척항방향으로1km지점에위치,033-574-2088,,강원도 삼척시 정상동 289-2,,3,1330,1130,0,0,2020-07-07 00:00:00
138,2023233,1093331,1,1,0,0,1,0,0,0,0,1,0,360,1320,장원,속초시내에서 미시령 방향 노학동 국민은행 연수원 옆 삼한아파트 뒤에 위치,033-636-2666,,강원도 속초시 교동 794-2,자동세차,1,1389,1189,0,0,2020-07-04 00:00:00
139,2021987,1094213,1,1,1,0,1,0,0,0,0,1,0,360,1440,청초,청초교삼거리에서척산온천방향50미터우측소방서뒷편에위치,033-635-8525,,강원도 속초시 교동 987-6,,2,1349,1154,0,1599,2020-07-07 00:00:00
140,2021628,1094879,0,0,0,0,0,2,107,1,992,1,0,360,1380,구도일,속초시내안암프라자맞은편에위치,033-635-1951,,강원도 속초시 조양동 650-14,자동세차,4,1339,1139,0,0,2020-07-07 00:00:00
142,2022155,1090922,0,0,0,0,0,0,0,0,0,0,0,360,1440,설악,설악파인리조트앞,033-635-4014,,강원도 속초시 노학동 746-102,,1,-1,-1,-1,-1,0
143,2021772,1092764,1,1,0,0,0,0,0,0,0,0,0,360,1440,척산,7번국도동우전문대입구에서척산온천방향으로100m지점에위치,033-636-1177,,강원도 속초시 노학동 298-2,,1,1334,1126,0,0,2020-07-07 00:00:00
144,2021563,1092413,1,0,0,0,0,0,0,0,0,0,0,420,1380,대륙,척산온천에서 속초쪽으로 노학동 온정초등학교 맞은편에 위치,033-636-3653,,강원도 속초시 노학동 326-3,자동세차,1,1358,1168,0,0,2020-07-06 00:00:00
145,2022491,1090720,0,0,0,0,0,0,0,0,0,0,0,360,1440,울산바위,척산온천에서미시령방향으로1000미터좌측에위치,033-636-0098,,강원도 속초시 노학동 980-59,,2,1349,1159,0,0,2020-07-07 00:00:00
146,2022973,1090524,0,0,0,0,0,0,0,0,0,0,0,360,1440,프라자,미시령넘어속초방향한화콘도앞사거리에위치,033-635-9800,,강원도 속초시 노학동 1006-8,블루큐무료세차서비스,3,1365,1160,0,1595,2020-07-07 00:00:00
149,2020242,1096624,1,0,1,0,0,2,107,1,990,0,0,360,1440,속초(코끼리),양양에서대포항지나400m농공단지맞은편에위,033-635-9705,,강원도 속초시 대포동 476-1,자동세차,1,1379,1189,0,0,2020-07-07 00:00:00
151,2018554,1096712,1,0,0,0,0,0,0,0,0,0,0,420,1320,뉴설악,속초시내에서양양방향으로대포항지나서1km지점삼거리에서우회전설악산국립공원방향250m좌측에위치,033-635-5308,,강원도 속초시 도문동 1678-11,자동세차기,4,1339,1139,0,0,2020-07-07 00:00:00
152,2024024,1095579,1,0,0,0,0,0,0,0,0,1,0,360,1380,동명새마을금고,속초시외버스터미널 맞은편에 위치,033-633-2284,,강원도 속초시 동명동 261-2,,3,1338,1154,0,0,2020-07-07 00:00:00
155,2021578,1095661,1,0,0,0,1,2,107,1,35,0,0,360,1440,삼천리,고속버스터미널에서시내쪽으로주공4차아파트입구엑스포유람선선착장맞은편에위치,033-632-1984,,강원도 속초시 조양동 1534-1,자동세차,1,1368,1178,0,1578,2020-07-07 00:00:00
159,2020751,1096417,1,0,0,0,0,2,107,1,45,0,4,360,1380,동해유업,대포항에서시내방면으로오다보면좌측에있음,033-633-2829,,강원도 속초시 조양동 1287-8,,3,1348,1148,0,0,2020-07-07 00:00:00
162,2014202,1047894,0,0,0,0,0,2,131,1,10,0,0,360,1440,광치령,양구시내에서원통방면으로8km지점에위치,033-481-9393,,강원도 양구군 남면 가오작리 1092,,1,1395,1210,0,0,2020-07-06 00:00:00
164,2009924,1046022,0,0,0,0,1,2,146,1,320,0,0,360,1440,금강산,31번국도양구읍에서속초방향10거리우측KBS송신소옆에위치,033-481-6886,,강원도 양구군 남면 창리 170-1,,2,1390,1210,0,0,2020-07-03 00:00:00
165,2011932,1046585,0,0,0,0,0,2,146,1,330,0,0,360,1440,양구,남면시외버스터미널에서양구방향으로100m전방좌측에위치,033-481-7447,,강원도 양구군 남면 청1리 1004-7,,1,1390,1210,0,0,2020-07-07 00:00:00
166,2022599,1047671,0,0,0,0,0,2,131,1,610,0,0,360,1440,양구농협동면지점,양구시내에서제4땅굴쪽으로30km지점동면사무소맞은편대암농협내에위치,033-481-8096,,강원도 양구군 동면 임당리 960-3,,18,1298,1169,0,0,2020-07-06 00:00:00
167,2023185,1039487,0,0,0,0,0,0,0,0,0,0,0,360,1440,직연폭포,직연폭포입구에위치,033-481-9368,,강원도 양구군 방산면 장평리 253-2,,2,1390,1210,0,0,2020-07-07 00:00:00
168,2011800,1043002,0,0,0,0,0,0,0,0,0,0,0,360,1440,양구동국,양구읍소재지내양구경찰서맞은편에위치,033-481-2331,,강원도 양구군 양구읍 상1리 257,,6,1378,1209,0,0,2020-07-07 00:00:00
170,2007262,1042716,0,0,0,0,0,2,146,1,60,0,0,360,1440,양구농협,양구에서춘천방향으로4km지점에위치,033-481-8005,,강원도 양구군 양구읍 학조리 195-1,,18,1298,1169,0,0,2020-07-07 00:00:00
173,2015772,1097870,0,0,0,0,0,2,107,1,55,0,0,360,1440,강현농협,속초에서낙산방향설악해수욕장전에바다호텔앞에위치,033-671-4010,,강원도 양양군 강현면 정암리 156-3,,1,-1,-1,-1,-1,0
175,2013615,1098938,0,0,0,0,0,2,107,1,60,0,0,360,1440,낙산,7번국도속초에서주문진방향우측낙산해수욕장입구에위치,033-672-2871,,강원도 양양군 강현면 주청리 99-5,,2,1387,1196,0,0,2020-07-07 00:00:00
178,2005682,1093488,0,0,0,0,0,2,156,1,110,0,0,360,1440,서광농협송천,한계령에서양양방향으로44번국도와56번국도경계삼거리에서56번국도로1km지점에위치,033-672-2934,,강원도 양양군 서면 송천리 3-5,,18,1334,1144,0,0,2020-07-07 00:00:00
180,2005542,1101858,1,0,1,0,0,2,107,1,95,0,0,360,1320,양양농협손양,양양시내에서 강릉 방향으로 가다보면 있음,033-672-9333,,강원도 양양군 손양면 밀양리 23-1,셀프세차,18,1335,1145,0,0,2020-07-06 00:00:00
182,2008596,1099604,1,0,1,0,1,2,107,1,80,0,0,360,1440,손양,양양에서강릉방향으로양양대교건너500m오른쪽에위치,033-672-8282,,강원도 양양군 손양면 송현리 230-1,net,1,1388,1198,0,1688,2020-07-07 00:00:00
183,2004875,1104949,0,0,1,0,0,2,107,1,989,0,0,360,1440,양양국제공항,하조대도립공원에서500m양양국제공항앞에위치,033-672-9951,,강원도 양양군 손양면 여운포리 85-1,net,4,1398,1198,0,0,2020-07-07 00:00:00
184,2009170,1098661,1,0,0,0,0,0,0,0,0,0,0,360,1440,양양,양양읍내시외버스터미널맞은편에위치,033-671-2361,,강원도 양양군 양양읍 남문3리 4-3,,1,1399,1199,0,0,2020-07-07 00:00:00
188,2011584,1098981,1,0,0,0,0,2,107,1,70,0,0,360,1380,동해,양양에서속초 낙산방향으로 4km 지점 좌측에 위치,033-671-1046,,강원도 양양군 양양읍 포월리 71-16,자동세차/블루큐무료세차서비스,3,1345,1169,0,1655,2020-07-07 00:00:00
189,1996209,1111262,0,0,0,0,0,2,107,1,110,0,0,360,1440,서울,7번국도강릉에서속초방향으로선싸이드모텔100m지점에위치,033-671-1151,,강원도 양양군 현남면 광진리 142-2,,4,1378,1187,0,0,2020-07-07 00:00:00
191,1992865,1113471,0,0,0,0,0,2,0,1,12,0,0,360,1440,하조대농업협동조합,7번국도주문진에서속초방향화상교건너우측원포리해수욕장입구에위치,033-671-7070,,강원도 양양군 현남면 원포리 17-3,,18,1320,1130,0,0,2020-07-07 00:00:00
193,2004414,1105513,0,0,0,0,0,2,107,1,105,0,0,360,1440,그린오가닉,양양에서강릉방향으로하조대1km못미쳐우측,033-673-5661,,강원도 양양군 현북면 중광정리 369-2,,2,1447,1248,0,0,2020-07-06 00:00:00
194,1931809,1039561,0,0,0,0,0,2,105,1,130,0,0,360,1440,태장,원주IC에서 시내방향으로 3분거리 우측 군국통합병원옆에 위치,033-742-3138,,강원도 원주시 가현동 69-4,,2,1399,1199,0,0,2020-07-06 00:00:00
195,1927028,1040865,0,0,0,0,0,0,0,0,0,0,4,360,1440,개운,치악교쪽방향,033-762-6424,,강원도 원주시 개운동 37-7,net,1,-1,-1,-1,-1,0
196,1924962,1040947,1,0,0,0,0,2,105,1,170,1,4,360,1440,단관,장구동사거리에서제천방향으로장구파출소전에위치,033-764-5188,,강원도 원주시 관설동 1463-2,자동세차,1,1348,1148,0,0,2020-07-07 00:00:00
200,1927358,1037924,1,0,0,0,0,0,0,0,0,0,6,360,1440,단계,남원주톨게이트에서시내방향으로에스케이텔레콤과코롱아파트사이에위치,033-743-7814,,강원도 원주시 단계동 879-2,net,1,1350,1160,0,0,2020-07-06 00:00:00
201,1927681,1038478,1,0,0,0,0,2,119,1,440,0,0,360,1380,강산,단계택지사거리에서시청방향한국관앞에위치,033-746-5555,,강원도 원주시 단계동 782-7,자동세차,1,-1,-1,-1,-1,0
